participant,session,date,expName,psychopyVersion,OS,frameRate
483829,001,2023-04-06_17h44.07.795,non_rigid_shiny_experiment_v3,2022.2.4,Win32,60.12867537
483829,001,2023-04-06_17h44.07.795,non_rigid_shiny_experiment_v3,2022.2.4,Win32,60.12867537
