participant,session,date,expName,psychopyVersion,OS,frameRate
827689,001,2023-04-06_17h41.33.325,non_rigid_shiny_experiment_v3,2022.2.4,Win32,60.54734803
827689,001,2023-04-06_17h41.33.325,non_rigid_shiny_experiment_v3,2022.2.4,Win32,60.54734803
