test_object,true_type,classified_as,decision_value,material_name,rigidity,glossiness,decision_value_norm,Glossiness,Rigidity,Enviroment_Map,Texture,init_rot,end_rot,Force,disp_scale,disp_depth,glossID,rigidID,type_truncted,type8way,detail,decisionNormalized,obj_dir,shiny_adap_trials.thisRepN,shiny_adap_trials.thisTrialN,shiny_adap_trials.thisN,shiny_adap_trials.thisIndex,gloss_trials.thisRepN,gloss_trials.thisTrialN,gloss_trials.thisN,gloss_trials.thisIndex,high_dec_dir,low_dec_dir,groundTruth,highly,lowInd,highDecision,lowDecision,deltaDecision,actual_target_pos,response.keys,response.rt,participant,session,date,expName,psychopyVersion,frameRate,
126,0,0,-23.74143063,"shiny_soft_gothicManor_None_[7, 0, 0]_[7, 0, 0]_CHARGE_1.961_1_5",soft,shiny,-1.0,shiny,soft,gothicManor,None,"[7, 0, 0]","[7, 0, 0]",CHARGE,1.961,1,0,1,1,-1,-1,-0.7771016263047318,validationSet_v7_movies/126.mp4,,,,,0,0,0,0,validationSet_v7_movies/281.mp4,validationSet_v7_movies/67.mp4,shiny,281,67,-0.6217780583100533,0.1375114517223571,-0.854525705,right,right,1.6875138999894261,672736,001,2023-04-06_17h28.11.562,non_rigid_shiny_experiment_v3,2022.2.4,59.787300694209485,
182,0,0,-20.90701178,"shiny_soft_abandoned_None_[86, 0, 0]_[86, 0, 0]_WIND_1.99_2_7",soft,shiny,-0.895587453,shiny,soft,abandoned,None,"[86, 0, 0]","[86, 0, 0]",WIND,1.99,2,0,1,1,-1,-1,-0.6843257724696848,validationSet_v7_movies/182.mp4,,,,,0,1,1,1,validationSet_v7_movies/280.mp4,validationSet_v7_movies/188.mp4,shiny,280,188,-0.5709447529264712,0.1134200682816578,-0.770203359,right,right,13.283583600015845,672736,001,2023-04-06_17h28.11.562,non_rigid_shiny_experiment_v3,2022.2.4,59.787300694209485,
298,0,0,-19.53749142,"shiny_rigid_machineShop_None_[19, 0, 0]_[-46, -50, -54]_None_1.838_2_5",rigid,shiny,-0.845137919,shiny,rigid,machineShop,None,"[19, 0, 0]","[-46, -50, -54]",None,1.838,2,0,0,2,1,1,-0.6394987982405651,validationSet_v7_movies/298.mp4,,,,,0,2,2,2,validationSet_v7_movies/294.mp4,validationSet_v7_movies/392.mp4,shiny,294,392,-0.5933841892197853,-0.0025959891243593,-0.664889606,right,right,2.184331500000553,672736,001,2023-04-06_17h28.11.562,non_rigid_shiny_experiment_v3,2022.2.4,59.787300694209485,
